flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
3127,6,80,60613,1248,7,1
62560535,6,80,41266,1252,9,1
11257,6,45690,80,0,2,1
1494,6,80,64468,1276,7,1
4990453,6,80,55410,1589,9,1
324957,6,80,58868,1234,7,1
1877,6,64337,80,0,2,1
1153,6,65063,80,0,2,1
1220,6,80,58630,1245,7,1
14874453,6,52252,80,0,2,1
1216549,6,62706,80,984,7,1
30712,6,50990,80,0,2,1
781,6,64664,80,0,2,1
4343630,6,80,43634,1253,8,1
4,6,37728,21,0,2,1
2,6,56766,21,0,2,1
4483280,6,80,45606,1265,8,1
4436848,6,80,33658,1263,8,1
4323666,6,80,47456,1345,8,1
4404022,6,80,39410,1260,8,1
4665990,6,80,51484,1256,8,1
4293213,6,80,40336,1254,8,1
14508,6,45550,80,0,2,1
30239,6,80,52428,1247,7,1
4332824,6,80,47968,1243,8,1
1603,6,64668,80,0,2,1
1451826,6,60244,80,984,7,1
17467,6,80,53472,1226,7,1
1312434,6,56213,80,984,7,1
553597,6,80,56108,1196,7,1
28063,6,65270,80,0,2,1
15500,6,38706,80,0,2,1
59605,6,47744,80,0,3,1
1349079,6,54673,80,984,7,1
1543,6,50216,80,0,2,1
4542048,6,80,36934,1292,8,1
28456,6,57942,80,0,2,1
4595448,6,80,39158,1307,8,1
1849,6,55978,80,0,2,1
11141,6,80,63872,1245,7,1
4150446,6,80,52820,1288,8,1
3537,6,57751,80,0,2,1
4124707,6,80,55620,1306,8,1
4477300,6,80,57432,1244,8,1
3927,6,45398,80,0,2,1
13842526,6,49420,80,0,2,1
3435,6,37024,80,0,2,1
29622,6,35030,80,0,2,1
4062909,6,80,40202,1247,8,1
49687,6,80,50445,1251,7,1
3003,6,45530,80,0,2,1
4402107,6,80,49732,1260,8,1
12698,6,54550,80,0,2,1
2203,6,59689,80,0,2,1
9339,6,40290,80,0,2,1
4144575,6,80,35472,1301,8,1
46373,6,58920,80,0,2,1
1797,6,80,52823,1251,7,1
2051,6,80,64951,1219,7,1
34837,6,80,61539,1275,7,1
5225092,6,80,57260,1312,8,1
1322,6,80,63681,1249,7,1
140859,6,56988,80,0,2,1
4541708,6,80,36730,1242,8,1
4588637,6,80,46286,1275,8,1
101727,6,60146,80,0,2,1
